Возраст,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
81,"20,941","24,390","20,241","22,591","14,960","18,892","14,439","16,953","21,993","29,057","31,373","33,032","31,959","32,246","28,567","23,791","14,689"
82,"18,534","18,795","21,868","18,132","20,413","13,554","17,254","13,138","15,399","20,009","26,553","28,627","29,727","30,727","29,858","26,661","22,151"
83,"14,850","16,496","16,610","19,383","16,060","18,381","12,167","15,588","11,855","13,811","18,013","24,088","25,473","27,802","28,326","27,654","24,753"
84,"13,670","13,039","14,407","14,491","16,976","14,155","16,330","10,845","13,858","10,601","12,369","16,091","20,911","24,400","25,284","25,878","25,381"
85,"9,971","11,879","11,256","12,440","12,520","14,664","12,336","14,362","9,480","12,139","9,329","10,968","13,793","18,992","21,928","22,887","23,502"
86,"7,955","8,493","10,197","9,530","10,605","10,742","12,554","10,582","12,442","8,233","10,414","8,091","9,236","13,447","16,834","19,758","20,670"
87,"5,076","6,670","7,083","8,577","7,995","8,921","8,993","10,650","8,851","10,668","7,105","8,864","6,747","8,731","11,873","14,999","17,652"
88,"5,098","4,208","5,499","5,851","7,172","6,568","7,437","7,488","8,773","7,315","8,941","6,051","7,320","6,471","7,633","10,469","13,145"
89,"3,060","4,210","3,414","4,412","4,733","5,919","5,278","6,065","6,108","7,009","5,881","7,455","5,054","6,472","5,540","6,703","9,150"
90,"2,938","2,439","3,425","2,756","3,474","3,793","4,804","4,173","4,846","4,869","5,583","4,768","6,084","5,153","5,456","4,840","5,844"
91,"1,796","2,281","1,857","2,731","2,153","2,717","2,990","3,852","3,345","3,801","3,931","4,549","3,810","5,405","4,405","4,638","4,153"
92,"1,485","1,392","1,729","1,418","2,067","1,649","2,121","2,322","3,074","2,635","3,080","3,218","3,619","4,525","4,466","3,812","3,955"
93,"1,315","1,100","1,051","1,316","1,049","1,564","1,320","1,661","1,791","2,493","2,092","2,488","2,575","3,886","3,829","3,707","3,339"
94,"1,196",984,822,766,980,791,"1,193",998,"1,306","1,426","2,065","1,721","2,070","2,117","3,204","3,314","3,129"
95,788,874,703,589,571,687,604,898,828,"1,052","1,186","1,771","1,478","1,443","1,667","2,718","2,878"
96,734,572,627,517,415,425,525,494,738,717,882,"1,016","1,587",917,"1,098","1,357","2,321"
97,449,499,407,468,365,300,342,417,409,646,627,810,946,658,695,901,"1,097"
98,536,337,347,302,356,296,239,283,349,350,568,600,772,449,518,578,726
99,147,359,257,276,225,293,228,204,251,314,330,576,578,306,356,418,492
100+,653,534,656,680,758,765,849,916,926,"1,010","1,092","1,247","1,610",272,425,573,805
